iter,start,end
0, 2019-10-27 16:38:48.965591,2019-10-27 16:39:06.258420
1, 2019-10-27 16:39:06.258420,2019-10-27 16:39:23.488814
2, 2019-10-27 16:39:23.488814,2019-10-27 16:39:40.734788
3, 2019-10-27 16:39:40.734788,2019-10-27 16:39:57.965138
4, 2019-10-27 16:39:57.965138,2019-10-27 16:40:15.179867
5, 2019-10-27 16:40:15.179867,2019-10-27 16:40:32.425799
6, 2019-10-27 16:40:32.425799,2019-10-27 16:40:49.609327
7, 2019-10-27 16:40:49.609327,2019-10-27 16:41:06.824095
8, 2019-10-27 16:41:06.824095,2019-10-27 16:41:24.023124
9, 2019-10-27 16:41:24.023124,2019-10-27 16:41:41.347243
10, 2019-10-27 16:41:41.347243,2019-10-27 16:41:58.640083
11, 2019-10-27 16:41:58.640083,2019-10-27 16:42:15.870390
12, 2019-10-27 16:42:15.870390,2019-10-27 16:42:33.147604
13, 2019-10-27 16:42:33.147604,2019-10-27 16:42:50.346782
14, 2019-10-27 16:42:50.346782,2019-10-27 16:43:07.577066
15, 2019-10-27 16:43:07.577066,2019-10-27 16:43:24.885564
16, 2019-10-27 16:43:24.885564,2019-10-27 16:43:42.225223
17, 2019-10-27 16:43:42.225223,2019-10-27 16:43:59.596211
18, 2019-10-27 16:43:59.596211,2019-10-27 16:44:16.904654
19, 2019-10-27 16:44:16.904654,2019-10-27 16:44:34.135019
