iter,start,end
0, 2019-10-27 16:19:26.307703,2019-10-27 16:19:41.491724
1, 2019-10-27 16:19:41.491724,2019-10-27 16:19:56.410050
2, 2019-10-27 16:19:56.410050,2019-10-27 16:20:11.312820
3, 2019-10-27 16:20:11.312820,2019-10-27 16:20:26.231327
4, 2019-10-27 16:20:26.231327,2019-10-27 16:20:41.134096
5, 2019-10-27 16:20:41.134096,2019-10-27 16:20:56.005625
6, 2019-10-27 16:20:56.005625,2019-10-27 16:21:10.892772
7, 2019-10-27 16:21:10.892772,2019-10-27 16:21:25.936099
8, 2019-10-27 16:21:25.936099,2019-10-27 16:21:40.995076
9, 2019-10-27 16:21:40.995076,2019-10-27 16:21:55.929129
10, 2019-10-27 16:21:55.929129,2019-10-27 16:22:10.988113
11, 2019-10-27 16:22:10.988113,2019-10-27 16:22:26.000262
12, 2019-10-27 16:22:26.000262,2019-10-27 16:22:40.934246
13, 2019-10-27 16:22:40.934246,2019-10-27 16:22:55.821393
14, 2019-10-27 16:22:55.821393,2019-10-27 16:23:10.755418
15, 2019-10-27 16:23:10.755418,2019-10-27 16:23:25.736239
16, 2019-10-27 16:23:25.736239,2019-10-27 16:23:40.717159
17, 2019-10-27 16:23:40.717159,2019-10-27 16:23:55.682417
18, 2019-10-27 16:23:55.682417,2019-10-27 16:24:10.866324
19, 2019-10-27 16:24:10.866324,2019-10-27 16:24:25.956593
