iter,start,end
0, 2019-10-27 17:08:45.287943,2019-10-27 17:08:58.753479
1, 2019-10-27 17:08:58.753479,2019-10-27 17:09:11.891037
2, 2019-10-27 17:09:11.891037,2019-10-27 17:09:24.950486
3, 2019-10-27 17:09:24.950486,2019-10-27 17:09:38.056892
4, 2019-10-27 17:09:38.056892,2019-10-27 17:09:51.147541
5, 2019-10-27 17:09:51.147541,2019-10-27 17:10:04.269521
6, 2019-10-27 17:10:04.269521,2019-10-27 17:10:17.375832
7, 2019-10-27 17:10:17.375832,2019-10-27 17:10:30.497725
8, 2019-10-27 17:10:30.497725,2019-10-27 17:10:43.604081
9, 2019-10-27 17:10:43.604081,2019-10-27 17:10:56.679165
10, 2019-10-27 17:10:56.679165,2019-10-27 17:11:09.769804
11, 2019-10-27 17:11:09.769804,2019-10-27 17:11:22.905254
12, 2019-10-27 17:11:22.905254,2019-10-27 17:11:36.027190
13, 2019-10-27 17:11:36.027190,2019-10-27 17:11:49.149167
14, 2019-10-27 17:11:49.149167,2019-10-27 17:12:02.317968
15, 2019-10-27 17:12:02.317968,2019-10-27 17:12:15.439903
16, 2019-10-27 17:12:15.439903,2019-10-27 17:12:28.561849
17, 2019-10-27 17:12:28.561849,2019-10-27 17:12:41.699398
18, 2019-10-27 17:12:41.699398,2019-10-27 17:12:54.821333
19, 2019-10-27 17:12:54.821333,2019-10-27 17:13:07.927604
