iter,start,end
0, 2019-10-27 16:49:34.175655,2019-10-27 16:49:48.562855
1, 2019-10-27 16:49:48.562855,2019-10-27 16:50:02.918875
2, 2019-10-27 16:50:02.918875,2019-10-27 16:50:17.306140
3, 2019-10-27 16:50:17.306140,2019-10-27 16:50:31.677833
4, 2019-10-27 16:50:31.677833,2019-10-27 16:50:46.002653
5, 2019-10-27 16:50:46.002653,2019-10-27 16:51:00.389919
6, 2019-10-27 16:51:00.389919,2019-10-27 16:51:14.730319
7, 2019-10-27 16:51:14.730319,2019-10-27 16:51:29.070723
8, 2019-10-27 16:51:29.070723,2019-10-27 16:51:43.536111
9, 2019-10-27 16:51:43.536111,2019-10-27 16:51:58.032666
10, 2019-10-27 16:51:58.032666,2019-10-27 16:52:12.451216
11, 2019-10-27 16:52:12.451216,2019-10-27 16:52:26.822816
12, 2019-10-27 16:52:26.822816,2019-10-27 16:52:41.210117
13, 2019-10-27 16:52:41.210117,2019-10-27 16:52:55.597348
14, 2019-10-27 16:52:55.597348,2019-10-27 16:53:10.031477
15, 2019-10-27 16:53:10.031477,2019-10-27 16:53:24.387543
16, 2019-10-27 16:53:24.387543,2019-10-27 16:53:38.806050
17, 2019-10-27 16:53:38.806050,2019-10-27 16:53:53.130855
18, 2019-10-27 16:53:53.130855,2019-10-27 16:54:07.596190
19, 2019-10-27 16:54:07.596190,2019-10-27 16:54:22.030330
