iter,start,end
0, 2019-10-27 17:18:07.968328,2019-10-27 17:18:25.964197
1, 2019-10-27 17:18:25.964197,2019-10-27 17:18:43.944301
2, 2019-10-27 17:18:43.944301,2019-10-27 17:19:01.877613
3, 2019-10-27 17:19:01.877613,2019-10-27 17:19:19.873410
4, 2019-10-27 17:19:19.873410,2019-10-27 17:19:37.869265
5, 2019-10-27 17:19:37.869265,2019-10-27 17:19:55.865004
6, 2019-10-27 17:19:55.865004,2019-10-27 17:20:13.798383
7, 2019-10-27 17:20:13.798383,2019-10-27 17:20:31.700385
8, 2019-10-27 17:20:31.700385,2019-10-27 17:20:49.664941
9, 2019-10-27 17:20:49.664941,2019-10-27 17:21:07.613875
10, 2019-10-27 17:21:07.613875,2019-10-27 17:21:25.588648
11, 2019-10-27 17:21:25.588648,2019-10-27 17:21:43.740637
12, 2019-10-27 17:21:43.740637,2019-10-27 17:22:01.736454
13, 2019-10-27 17:22:01.736454,2019-10-27 17:22:19.685388
14, 2019-10-27 17:22:19.685388,2019-10-27 17:22:37.603044
15, 2019-10-27 17:22:37.603044,2019-10-27 17:22:55.645676
16, 2019-10-27 17:22:55.645676,2019-10-27 17:23:13.719580
17, 2019-10-27 17:23:13.719580,2019-10-27 17:23:31.668538
18, 2019-10-27 17:23:31.668538,2019-10-27 17:23:49.726798
19, 2019-10-27 17:23:49.726798,2019-10-27 17:24:07.988157
