iter,start,end
0, 2019-10-27 15:50:58.887357,2019-10-27 15:51:11.774902
1, 2019-10-27 15:51:11.774902,2019-10-27 15:51:24.662519
2, 2019-10-27 15:51:24.662519,2019-10-27 15:51:37.612687
3, 2019-10-27 15:51:37.612687,2019-10-27 15:51:50.515856
4, 2019-10-27 15:51:50.515856,2019-10-27 15:52:03.419135
5, 2019-10-27 15:52:03.419135,2019-10-27 15:52:16.306708
6, 2019-10-27 15:52:16.306708,2019-10-27 15:52:29.225565
7, 2019-10-27 15:52:29.225565,2019-10-27 15:52:42.113222
8, 2019-10-27 15:52:42.113222,2019-10-27 15:52:55.000866
9, 2019-10-27 15:52:55.000866,2019-10-27 15:53:07.904098
10, 2019-10-27 15:53:07.904098,2019-10-27 15:53:20.807271
11, 2019-10-27 15:53:20.807271,2019-10-27 15:53:33.726198
12, 2019-10-27 15:53:33.726198,2019-10-27 15:53:46.660675
13, 2019-10-27 15:53:46.660675,2019-10-27 15:53:59.563911
14, 2019-10-27 15:53:59.563911,2019-10-27 15:54:12.529567
15, 2019-10-27 15:54:12.529567,2019-10-27 15:54:25.432803
16, 2019-10-27 15:54:25.432803,2019-10-27 15:54:38.351730
17, 2019-10-27 15:54:38.351730,2019-10-27 15:54:51.239345
18, 2019-10-27 15:54:51.239345,2019-10-27 15:55:04.126960
19, 2019-10-27 15:55:04.126960,2019-10-27 15:55:17.077059
