iter,start,end
0, 2019-10-27 16:29:26.000441,2019-10-27 16:29:39.153618
1, 2019-10-27 16:29:39.153618,2019-10-27 16:29:52.275554
2, 2019-10-27 16:29:52.275554,2019-10-27 16:30:05.413111
3, 2019-10-27 16:30:05.413111,2019-10-27 16:30:18.581977
4, 2019-10-27 16:30:18.581977,2019-10-27 16:30:31.735131
5, 2019-10-27 16:30:31.735131,2019-10-27 16:30:44.888336
6, 2019-10-27 16:30:44.888336,2019-10-27 16:30:58.025890
7, 2019-10-27 16:30:58.025890,2019-10-27 16:31:11.132137
8, 2019-10-27 16:31:11.132137,2019-10-27 16:31:24.300938
9, 2019-10-27 16:31:24.300938,2019-10-27 16:31:37.438495
10, 2019-10-27 16:31:37.438495,2019-10-27 16:31:50.576052
11, 2019-10-27 16:31:50.576052,2019-10-27 16:32:03.729230
12, 2019-10-27 16:32:03.729230,2019-10-27 16:32:17.038687
13, 2019-10-27 16:32:17.038687,2019-10-27 16:32:30.191866
14, 2019-10-27 16:32:30.191866,2019-10-27 16:32:43.298114
15, 2019-10-27 16:32:43.298114,2019-10-27 16:32:56.420049
16, 2019-10-27 16:32:56.420049,2019-10-27 16:33:09.541986
17, 2019-10-27 16:33:09.541986,2019-10-27 16:33:22.648299
18, 2019-10-27 16:33:22.648299,2019-10-27 16:33:35.770236
19, 2019-10-27 16:33:35.770236,2019-10-27 16:33:48.923414
