iter,start,end
0, 2019-10-27 08:25:17.446684,2019-10-27 08:25:18.743320
1, 2019-10-27 08:25:18.743320,2019-10-27 08:25:20.039890
2, 2019-10-27 08:25:20.039890,2019-10-27 08:25:21.320814
3, 2019-10-27 08:25:21.320814,2019-10-27 08:25:22.617383
4, 2019-10-27 08:25:22.617383,2019-10-27 08:25:23.898292
5, 2019-10-27 08:25:23.898292,2019-10-27 08:25:25.194902
6, 2019-10-27 08:25:25.194902,2019-10-27 08:25:26.475810
7, 2019-10-27 08:25:26.475810,2019-10-27 08:25:27.772380
8, 2019-10-27 08:25:27.772380,2019-10-27 08:25:29.053402
9, 2019-10-27 08:25:29.053402,2019-10-27 08:25:30.349966
10, 2019-10-27 08:25:30.349966,2019-10-27 08:25:31.630848
11, 2019-10-27 08:25:31.630848,2019-10-27 08:25:32.927418
12, 2019-10-27 08:25:32.927418,2019-10-27 08:25:34.223989
13, 2019-10-27 08:25:34.223989,2019-10-27 08:25:35.504937
14, 2019-10-27 08:25:35.504937,2019-10-27 08:25:36.785954
15, 2019-10-27 08:25:36.785954,2019-10-27 08:25:38.082498
16, 2019-10-27 08:25:38.082498,2019-10-27 08:25:39.379094
17, 2019-10-27 08:25:39.379094,2019-10-27 08:25:40.660041
18, 2019-10-27 08:25:40.660041,2019-10-27 08:25:41.956622
19, 2019-10-27 08:25:41.956622,2019-10-27 08:25:43.284400
