iter,start,end
0, 2019-10-27 16:00:17.117804,2019-10-27 16:00:29.896157
1, 2019-10-27 16:00:29.896157,2019-10-27 16:00:42.658802
2, 2019-10-27 16:00:42.658802,2019-10-27 16:00:55.421448
3, 2019-10-27 16:00:55.421448,2019-10-27 16:01:08.215334
4, 2019-10-27 16:01:08.215334,2019-10-27 16:01:21.009222
5, 2019-10-27 16:01:21.009222,2019-10-27 16:01:33.771823
6, 2019-10-27 16:01:33.771823,2019-10-27 16:01:46.565765
7, 2019-10-27 16:01:46.565765,2019-10-27 16:01:59.359640
8, 2019-10-27 16:01:59.359640,2019-10-27 16:02:12.137906
9, 2019-10-27 16:02:12.137906,2019-10-27 16:02:24.916177
10, 2019-10-27 16:02:24.916177,2019-10-27 16:02:37.631951
11, 2019-10-27 16:02:37.631951,2019-10-27 16:02:50.425839
12, 2019-10-27 16:02:50.425839,2019-10-27 16:03:03.219726
13, 2019-10-27 16:03:03.219726,2019-10-27 16:03:15.997993
14, 2019-10-27 16:03:15.997993,2019-10-27 16:03:28.807501
15, 2019-10-27 16:03:28.807501,2019-10-27 16:03:41.570104
16, 2019-10-27 16:03:41.570104,2019-10-27 16:03:54.332816
17, 2019-10-27 16:03:54.332816,2019-10-27 16:04:07.079839
18, 2019-10-27 16:04:07.079839,2019-10-27 16:04:19.842483
19, 2019-10-27 16:04:19.842483,2019-10-27 16:04:32.620858
