iter,start,end
0, 2019-10-27 15:41:13.655036,2019-10-27 15:41:36.930847
1, 2019-10-27 15:41:36.930847,2019-10-27 15:41:50.708948
2, 2019-10-27 15:41:50.708948,2019-10-27 15:42:04.518222
3, 2019-10-27 15:42:04.518222,2019-10-27 15:42:18.311877
4, 2019-10-27 15:42:18.311877,2019-10-27 15:42:32.074221
5, 2019-10-27 15:42:32.074221,2019-10-27 15:42:45.852253
6, 2019-10-27 15:42:45.852253,2019-10-27 15:42:59.645907
7, 2019-10-27 15:42:59.645907,2019-10-27 15:43:13.470879
8, 2019-10-27 15:43:13.470879,2019-10-27 15:43:27.248835
9, 2019-10-27 15:43:27.248835,2019-10-27 15:43:41.011246
10, 2019-10-27 15:43:41.011246,2019-10-27 15:43:54.773656
11, 2019-10-27 15:43:54.773656,2019-10-27 15:44:08.551756
12, 2019-10-27 15:44:08.551756,2019-10-27 15:44:22.345392
13, 2019-10-27 15:44:22.345392,2019-10-27 15:44:36.138998
14, 2019-10-27 15:44:36.138998,2019-10-27 15:44:49.901408
15, 2019-10-27 15:44:49.901408,2019-10-27 15:45:03.726372
16, 2019-10-27 15:45:03.726372,2019-10-27 15:45:17.535580
17, 2019-10-27 15:45:17.535580,2019-10-27 15:45:31.297991
18, 2019-10-27 15:45:31.297991,2019-10-27 15:45:45.091645
19, 2019-10-27 15:45:45.091645,2019-10-27 15:45:58.854055
