iter,start,end
0,2019-10-31 05:58:48.889319,2019-10-31 05:58:49.139259
1,2019-10-31 05:58:49.139259,2019-10-31 05:58:49.154881
2,2019-10-31 05:58:49.154881,2019-10-31 05:58:49.186123
3,2019-10-31 05:58:49.186123,2019-10-31 05:58:49.201744
4,2019-10-31 05:58:49.201744,2019-10-31 05:58:49.232987
5,2019-10-31 05:58:49.232987,2019-10-31 05:58:49.248610
6,2019-10-31 05:58:49.248610,2019-10-31 05:58:49.264232
7,2019-10-31 05:58:49.264232,2019-10-31 05:58:49.279851
8,2019-10-31 05:58:49.279851,2019-10-31 05:58:49.311094
9,2019-10-31 05:58:49.311094,2019-10-31 05:58:49.326714
10,2019-10-31 05:58:49.326714,2019-10-31 05:58:49.326714
11,2019-10-31 05:58:49.326714,2019-10-31 05:58:49.342337
12,2019-10-31 05:58:49.342337,2019-10-31 05:58:49.357958
13,2019-10-31 05:58:49.357958,2019-10-31 05:58:49.373578
14,2019-10-31 05:58:49.373578,2019-10-31 05:58:49.389202
15,2019-10-31 05:58:49.389202,2019-10-31 05:58:49.404823
16,2019-10-31 05:58:49.404823,2019-10-31 05:58:49.404823
17,2019-10-31 05:58:49.420443,2019-10-31 05:58:49.420443
18,2019-10-31 05:58:49.420443,2019-10-31 05:58:49.436064
19,2019-10-31 05:58:49.436064,2019-10-31 05:58:49.451686
