datatime,cpuPercent,usedMB,memPercent
2019-10-31 05:04:21.552951,25.9,3343929344,19.6
2019-10-31 05:04:21.662299,25.0,3343106048,19.6
2019-10-31 05:04:21.771647,25.5,3343433728,19.6
2019-10-31 05:04:21.880997,25.9,3344506880,19.6
2019-10-31 05:04:21.990348,29.6,3346010112,19.6
2019-10-31 05:04:22.099726,21.1,3349950464,19.6
2019-10-31 05:04:22.209046,25.0,3349975040,19.6
2019-10-31 05:04:22.318394,37.5,3352887296,19.6
2019-10-31 05:04:22.427745,35.7,3367899136,19.7
2019-10-31 05:04:22.537093,29.1,3373174784,19.8
2019-10-31 05:04:22.646444,29.6,3367030784,19.7
2019-10-31 05:04:22.755819,15.5,3367051264,19.7
2019-10-31 05:04:22.865210,13.5,3366428672,19.7
2019-10-31 05:04:22.974571,34.4,3366854656,19.7
2019-10-31 05:04:23.083840,21.4,3367329792,19.7
2019-10-31 05:04:23.193190,18.5,3373576192,19.8
2019-10-31 05:04:23.302539,12.3,3379425280,19.8
2019-10-31 05:04:23.411889,16.4,3384475648,19.8
2019-10-31 05:04:23.521238,1.7,3385466880,19.8
2019-10-31 05:04:23.630694,0.0,3385466880,19.8
2019-10-31 05:04:23.740047,0.0,3385466880,19.8
2019-10-31 05:04:23.849399,0.0,3378229248,19.8
2019-10-31 05:04:23.958941,0.0,3378388992,19.8
2019-10-31 05:04:24.068398,0.0,3378388992,19.8
2019-10-31 05:04:24.177461,0.0,3378388992,19.8
2019-10-31 05:04:24.286798,0.0,3378384896,19.8
2019-10-31 05:04:24.396142,0.0,3378384896,19.8
2019-10-31 05:04:24.505520,0.0,3378311168,19.8
2019-10-31 05:04:24.614851,7.5,3379761152,19.8
2019-10-31 05:04:24.724523,0.0,3379761152,19.8
2019-10-31 05:04:24.833548,0.0,3379740672,19.8
2019-10-31 05:04:24.942886,0.0,3379757056,19.8
2019-10-31 05:04:25.052496,0.0,3379757056,19.8
2019-10-31 05:04:25.173528,1.7,3377295360,19.8
2019-10-31 05:04:25.283210,0.0,3377295360,19.8
2019-10-31 05:04:25.392266,0.0,3377295360,19.8
2019-10-31 05:04:25.501578,0.0,3377287168,19.8
2019-10-31 05:04:25.610921,0.0,3377287168,19.8
2019-10-31 05:04:25.720277,1.9,3377561600,19.8
2019-10-31 05:04:25.829515,18.3,3379605504,19.8
2019-10-31 05:04:25.938863,10.3,3381018624,19.8
2019-10-31 05:04:26.048212,13.0,3381940224,19.8
2019-10-31 05:04:26.157561,10.5,3382034432,19.8
2019-10-31 05:04:26.266910,9.3,3381989376,19.8
2019-10-31 05:04:26.376271,10.5,3381919744,19.8
2019-10-31 05:04:26.485654,9.3,3382099968,19.8
2019-10-31 05:04:26.594960,16.9,3382927360,19.8
2019-10-31 05:04:26.704339,13.0,3383529472,19.8
2019-10-31 05:04:26.813659,14.5,3387211776,19.8
2019-10-31 05:04:26.923007,15.1,3388702720,19.8
2019-10-31 05:04:27.032368,13.6,3388841984,19.9
2019-10-31 05:04:27.141716,16.1,3391938560,19.9
2019-10-31 05:04:27.251055,7.4,3392425984,19.9
2019-10-31 05:04:27.360407,16.4,3393912832,19.9
2019-10-31 05:04:27.469753,12.7,3392716800,19.9
2019-10-31 05:04:27.579101,14.0,3394732032,19.9
2019-10-31 05:04:27.688703,23.2,3393380352,19.9
2019-10-31 05:04:27.797799,13.0,3394015232,19.9
2019-10-31 05:04:27.907153,13.1,3394715648,19.9
2019-10-31 05:04:28.016498,13.8,3393466368,19.9
2019-10-31 05:04:28.125848,1.9,3394752512,19.9
2019-10-31 05:04:28.235196,12.1,3402194944,19.9
2019-10-31 05:04:28.344546,12.3,3403956224,19.9
2019-10-31 05:04:28.453957,5.4,3409977344,20.0
2019-10-31 05:04:28.563286,23.2,3450970112,20.2
2019-10-31 05:04:28.672600,16.4,3446935552,20.2
2019-10-31 05:04:28.786955,0.0,3446935552,20.2
2019-10-31 05:04:28.900841,8.6,3446898688,20.2
2019-10-31 05:04:29.011437,13.0,3444764672,20.2
2019-10-31 05:04:29.120744,23.6,3449901056,20.2
2019-10-31 05:04:29.230096,24.6,3467694080,20.3
2019-10-31 05:04:29.339454,16.1,3495481344,20.5
2019-10-31 05:04:29.448836,19.6,3496431616,20.5
2019-10-31 05:04:29.558142,12.5,3429613568,20.1
2019-10-31 05:04:29.667493,22.6,3447394304,20.2
2019-10-31 05:04:29.776842,12.3,3460792320,20.3
2019-10-31 05:04:29.886192,9.6,3428880384,20.1
2019-10-31 05:04:29.995653,1.8,3427635200,20.1
2019-10-31 05:04:30.104890,10.9,3427565568,20.1
2019-10-31 05:04:30.214238,5.4,3423576064,20.1
2019-10-31 05:04:30.323633,3.6,3427020800,20.1
2019-10-31 05:04:30.433159,0.0,3427094528,20.1
2019-10-31 05:04:30.542399,0.0,3427094528,20.1
2019-10-31 05:04:30.651745,0.0,3424026624,20.1
2019-10-31 05:04:30.761090,0.0,3424026624,20.1
2019-10-31 05:04:30.870447,0.0,3424026624,20.1
2019-10-31 05:04:30.979793,0.0,3424026624,20.1
2019-10-31 05:04:31.089204,0.0,3424026624,20.1
2019-10-31 05:04:31.198496,0.0,3424026624,20.1
2019-10-31 05:04:31.307846,6.8,3424362496,20.1
2019-10-31 05:04:31.417147,15.8,3439529984,20.1
2019-10-31 05:04:31.526449,14.3,3439841280,20.1
2019-10-31 05:04:31.635846,11.5,3439329280,20.1
2019-10-31 05:04:31.745172,12.7,3439329280,20.1
2019-10-31 05:04:31.854525,12.5,3439304704,20.1
2019-10-31 05:04:31.963881,12.7,3439329280,20.1
2019-10-31 05:04:32.073219,13.5,3437830144,20.1
2019-10-31 05:04:32.182569,18.6,3437809664,20.1
2019-10-31 05:04:32.292233,32.4,3437809664,20.1
2019-10-31 05:04:32.439642,40.6,3437801472,20.1
2019-10-31 05:04:32.558333,33.3,3437785088,20.1
2019-10-31 05:04:32.730818,18.0,3437285376,20.1
2019-10-31 05:04:32.854244,12.7,3436318720,20.1
2019-10-31 05:04:32.963595,15.5,3436523520,20.1
2019-10-31 05:04:33.072984,14.3,3440742400,20.2
2019-10-31 05:04:33.182329,18.5,3442348032,20.2
2019-10-31 05:04:33.291703,12.1,3447599104,20.2
2019-10-31 05:04:33.400989,16.1,3446550528,20.2
2019-10-31 05:04:33.510389,11.3,3447087104,20.2
2019-10-31 05:04:33.619730,12.3,3454390272,20.2
2019-10-31 05:04:33.729079,14.5,3462139904,20.3
2019-10-31 05:04:33.838387,12.7,3464753152,20.3
2019-10-31 05:04:33.947737,5.4,3468931072,20.3
2019-10-31 05:04:34.057097,0.0,3468918784,20.3
2019-10-31 05:04:34.166850,1.7,3469185024,20.3
2019-10-31 05:04:34.275837,0.0,3469185024,20.3
2019-10-31 05:04:34.385438,3.7,3469168640,20.3
2019-10-31 05:04:34.494712,6.8,3472306176,20.3
2019-10-31 05:04:34.604060,12.5,3481673728,20.4
2019-10-31 05:04:34.713367,11.1,3480141824,20.4
2019-10-31 05:04:34.823134,0.0,3480141824,20.4
2019-10-31 05:04:34.928184,0.0,3480141824,20.4
2019-10-31 05:04:35.037395,5.3,3480137728,20.4
2019-10-31 05:04:35.147053,0.0,3479900160,20.4
2019-10-31 05:04:35.256190,0.0,3479900160,20.4
2019-10-31 05:04:35.365446,0.0,3481452544,20.4
2019-10-31 05:04:35.475035,0.0,3481452544,20.4
2019-10-31 05:04:35.584144,0.0,3481452544,20.4
2019-10-31 05:04:35.693486,1.9,3481485312,20.4
2019-10-31 05:04:35.802738,3.6,3481178112,20.4
2019-10-31 05:04:35.912394,0.0,3481137152,20.4
2019-10-31 05:04:36.021536,0.0,3481137152,20.4
2019-10-31 05:04:36.130884,0.0,3480145920,20.4
2019-10-31 05:04:36.240229,0.0,3480145920,20.4
2019-10-31 05:04:36.349587,1.9,3480424448,20.4
2019-10-31 05:04:36.459284,1.8,3480424448,20.4
2019-10-31 05:04:36.568300,0.0,3480412160,20.4
2019-10-31 05:04:36.677633,3.4,3480707072,20.4
2019-10-31 05:04:36.787127,0.0,3480707072,20.4
2019-10-31 05:04:36.896327,1.8,3480797184,20.4
2019-10-31 05:04:37.005616,13.8,3480788992,20.4
2019-10-31 05:04:37.114919,14.5,3480895488,20.4
2019-10-31 05:04:37.224268,10.7,3481030656,20.4
2019-10-31 05:04:37.333619,9.4,3481190400,20.4
2019-10-31 05:04:37.443033,13.1,3480121344,20.4
2019-10-31 05:04:37.552355,5.5,3481010176,20.4
2019-10-31 05:04:37.661985,0.0,3481026560,20.4
2019-10-31 05:04:37.771128,2.0,3481161728,20.4
2019-10-31 05:04:37.880471,0.0,3481153536,20.4
2019-10-31 05:04:37.989827,0.0,3481153536,20.4
2019-10-31 05:04:38.099181,1.8,3481403392,20.4
2019-10-31 05:04:38.208760,0.0,3481407488,20.4
2019-10-31 05:04:38.317878,5.1,3481563136,20.4
2019-10-31 05:04:38.427111,0.0,3483000832,20.4
2019-10-31 05:04:38.536686,2.0,3483095040,20.4
2019-10-31 05:04:38.645952,0.0,3483095040,20.4
2019-10-31 05:04:38.755276,0.0,3483095040,20.4
2019-10-31 05:04:38.864628,0.0,3482656768,20.4
2019-10-31 05:04:38.973968,0.0,3482652672,20.4
2019-10-31 05:04:39.083320,0.0,3482636288,20.4
2019-10-31 05:04:39.192855,0.0,3482636288,20.4
2019-10-31 05:04:39.302277,0.0,3482636288,20.4
2019-10-31 05:04:39.411640,0.0,3482628096,20.4
2019-10-31 05:04:39.520979,1.7,3482898432,20.4
2019-10-31 05:04:39.630253,3.9,3483934720,20.4
2019-10-31 05:04:39.739756,0.0,3483934720,20.4
2019-10-31 05:04:39.849205,0.0,3483934720,20.4
2019-10-31 05:04:39.958545,0.0,3483934720,20.4
2019-10-31 05:04:40.067903,0.0,3483930624,20.4
2019-10-31 05:04:40.177483,3.7,3483758592,20.4
2019-10-31 05:04:40.286596,0.0,3483779072,20.4
2019-10-31 05:04:40.395945,0.0,3483779072,20.4
2019-10-31 05:04:40.505299,0.0,3483705344,20.4
2019-10-31 05:04:40.614653,5.7,3483705344,20.4
2019-10-31 05:04:40.724106,0.0,3483705344,20.4
2019-10-31 05:04:40.833354,0.0,3483705344,20.4
2019-10-31 05:04:40.942691,0.0,3483705344,20.4
2019-10-31 05:04:41.052048,0.0,3483709440,20.4
2019-10-31 05:04:41.161682,0.0,3483709440,20.4
2019-10-31 05:04:41.270742,0.0,3483688960,20.4
2019-10-31 05:04:41.380090,0.0,3483680768,20.4
2019-10-31 05:04:41.489440,0.0,3483680768,20.4
2019-10-31 05:04:41.598815,0.0,3483615232,20.4
2019-10-31 05:04:41.708271,0.0,3483615232,20.4
2019-10-31 05:04:41.817490,0.0,3483615232,20.4
2019-10-31 05:04:41.926838,0.0,3483615232,20.4
2019-10-31 05:04:42.036186,0.0,3483623424,20.4
2019-10-31 05:04:42.145685,0.0,3483578368,20.4
2019-10-31 05:04:42.254887,0.0,3483598848,20.4
2019-10-31 05:04:42.364234,0.0,3483598848,20.4
2019-10-31 05:04:42.473591,0.0,3483598848,20.4
2019-10-31 05:04:42.582934,3.6,3483598848,20.4
2019-10-31 05:04:42.692591,0.0,3483598848,20.4
2019-10-31 05:04:42.801662,0.0,3483586560,20.4
2019-10-31 05:04:42.911003,0.0,3483586560,20.4
2019-10-31 05:04:43.020330,0.0,3483840512,20.4
2019-10-31 05:04:43.129869,3.6,3483828224,20.4
2019-10-31 05:04:43.239196,0.0,3483779072,20.4
2019-10-31 05:04:43.348380,0.0,3483754496,20.4
2019-10-31 05:04:43.457972,0.0,3483774976,20.4
2019-10-31 05:04:43.567077,1.7,3483774976,20.4
2019-10-31 05:04:43.676426,5.6,3483717632,20.4
2019-10-31 05:04:43.785819,0.0,3483701248,20.4
2019-10-31 05:04:43.895129,0.0,3483729920,20.4
2019-10-31 05:04:44.004573,0.0,3483729920,20.4
2019-10-31 05:04:44.113830,0.0,3483713536,20.4
2019-10-31 05:04:44.223239,0.0,3483770880,20.4
2019-10-31 05:04:44.332528,0.0,3483492352,20.4
2019-10-31 05:04:44.441872,0.0,3483492352,20.4
2019-10-31 05:04:44.551222,0.0,3483484160,20.4
2019-10-31 05:04:44.660572,5.6,3483484160,20.4
2019-10-31 05:04:44.770142,0.0,3483484160,20.4
