iter,start,end
0,2019-10-31 05:48:56.426367,2019-10-31 05:48:56.676344
1,2019-10-31 05:48:56.676344,2019-10-31 05:48:56.691931
2,2019-10-31 05:48:56.691931,2019-10-31 05:48:56.723172
3,2019-10-31 05:48:56.723172,2019-10-31 05:48:56.738795
4,2019-10-31 05:48:56.738795,2019-10-31 05:48:56.754415
5,2019-10-31 05:48:56.754415,2019-10-31 05:48:56.785657
6,2019-10-31 05:48:56.785657,2019-10-31 05:48:56.801279
7,2019-10-31 05:48:56.801279,2019-10-31 05:48:56.816900
8,2019-10-31 05:48:56.816900,2019-10-31 05:48:56.832522
9,2019-10-31 05:48:56.832522,2019-10-31 05:48:56.848143
10,2019-10-31 05:48:56.848143,2019-10-31 05:48:56.863764
11,2019-10-31 05:48:56.863764,2019-10-31 05:48:56.879388
12,2019-10-31 05:48:56.879388,2019-10-31 05:48:56.895007
13,2019-10-31 05:48:56.895007,2019-10-31 05:48:56.910631
14,2019-10-31 05:48:56.910631,2019-10-31 05:48:56.926250
15,2019-10-31 05:48:56.926250,2019-10-31 05:48:56.941870
16,2019-10-31 05:48:56.941870,2019-10-31 05:48:56.941870
17,2019-10-31 05:48:56.941870,2019-10-31 05:48:56.957493
18,2019-10-31 05:48:56.957493,2019-10-31 05:48:56.973114
19,2019-10-31 05:48:56.973114,2019-10-31 05:48:56.988736
