iter,start,end
0,2019-10-31 05:07:33.721015,2019-10-31 05:07:33.970954
1,2019-10-31 05:07:33.970954,2019-10-31 05:07:34.002199
2,2019-10-31 05:07:34.002199,2019-10-31 05:07:34.017821
3,2019-10-31 05:07:34.017821,2019-10-31 05:07:34.064683
4,2019-10-31 05:07:34.064683,2019-10-31 05:07:34.080305
5,2019-10-31 05:07:34.080305,2019-10-31 05:07:34.095925
6,2019-10-31 05:07:34.095925,2019-10-31 05:07:34.127169
7,2019-10-31 05:07:34.127169,2019-10-31 05:07:34.142789
8,2019-10-31 05:07:34.142789,2019-10-31 05:07:34.158412
9,2019-10-31 05:07:34.158412,2019-10-31 05:07:34.174033
10,2019-10-31 05:07:34.174033,2019-10-31 05:07:34.189653
11,2019-10-31 05:07:34.189653,2019-10-31 05:07:34.205275
12,2019-10-31 05:07:34.205275,2019-10-31 05:07:34.220897
13,2019-10-31 05:07:34.220897,2019-10-31 05:07:34.220897
14,2019-10-31 05:07:34.220897,2019-10-31 05:07:34.236518
15,2019-10-31 05:07:34.236518,2019-10-31 05:07:34.252138
16,2019-10-31 05:07:34.252138,2019-10-31 05:07:34.267760
17,2019-10-31 05:07:34.267760,2019-10-31 05:07:34.267760
18,2019-10-31 05:07:34.267760,2019-10-31 05:07:34.283381
19,2019-10-31 05:07:34.283381,2019-10-31 05:07:34.299003
