iter,start,end
0,2019-10-31 05:20:43.520259,2019-10-31 05:20:43.754579
1,2019-10-31 05:20:43.754579,2019-10-31 05:20:43.785854
2,2019-10-31 05:20:43.785854,2019-10-31 05:20:43.817067
3,2019-10-31 05:20:43.817067,2019-10-31 05:20:43.848309
4,2019-10-31 05:20:43.848309,2019-10-31 05:20:43.879554
5,2019-10-31 05:20:43.879554,2019-10-31 05:20:43.895172
6,2019-10-31 05:20:43.895172,2019-10-31 05:20:43.910793
7,2019-10-31 05:20:43.910793,2019-10-31 05:20:43.942037
8,2019-10-31 05:20:43.942037,2019-10-31 05:20:43.957656
9,2019-10-31 05:20:43.957656,2019-10-31 05:20:43.973278
10,2019-10-31 05:20:43.973278,2019-10-31 05:20:43.988901
11,2019-10-31 05:20:43.988901,2019-10-31 05:20:44.004522
12,2019-10-31 05:20:44.004522,2019-10-31 05:20:44.020144
13,2019-10-31 05:20:44.020144,2019-10-31 05:20:44.035763
14,2019-10-31 05:20:44.035763,2019-10-31 05:20:44.051385
15,2019-10-31 05:20:44.051385,2019-10-31 05:20:44.067006
16,2019-10-31 05:20:44.067006,2019-10-31 05:20:44.082629
17,2019-10-31 05:20:44.082629,2019-10-31 05:20:44.082629
18,2019-10-31 05:20:44.082629,2019-10-31 05:20:44.098249
19,2019-10-31 05:20:44.098249,2019-10-31 05:20:44.113869
