iter,start,end
0,2019-10-31 05:27:47.826844,2019-10-31 05:27:48.092449
1,2019-10-31 05:27:48.092449,2019-10-31 05:27:48.123650
2,2019-10-31 05:27:48.123650,2019-10-31 05:27:48.154895
3,2019-10-31 05:27:48.154895,2019-10-31 05:27:48.186136
4,2019-10-31 05:27:48.186136,2019-10-31 05:27:48.217380
5,2019-10-31 05:27:48.217380,2019-10-31 05:27:48.248621
6,2019-10-31 05:27:48.248621,2019-10-31 05:27:48.264241
7,2019-10-31 05:27:48.264241,2019-10-31 05:27:48.279861
8,2019-10-31 05:27:48.279861,2019-10-31 05:27:48.295482
9,2019-10-31 05:27:48.295482,2019-10-31 05:27:48.311106
10,2019-10-31 05:27:48.311106,2019-10-31 05:27:48.326727
11,2019-10-31 05:27:48.326727,2019-10-31 05:27:48.342348
12,2019-10-31 05:27:48.342348,2019-10-31 05:27:48.373594
13,2019-10-31 05:27:48.373594,2019-10-31 05:27:48.389212
14,2019-10-31 05:27:48.389212,2019-10-31 05:27:48.404831
15,2019-10-31 05:27:48.404831,2019-10-31 05:27:48.420452
16,2019-10-31 05:27:48.420452,2019-10-31 05:27:48.436075
17,2019-10-31 05:27:48.436075,2019-10-31 05:27:48.451699
18,2019-10-31 05:27:48.451699,2019-10-31 05:27:48.467320
19,2019-10-31 05:27:48.467320,2019-10-31 05:27:48.482940
