datatime,cpuPercent,usedMB,memPercent
2019-10-29 05:31:55.370971,5.5,2552463360,15.0
2019-10-29 05:31:55.484572,0.0,2552483840,15.0
2019-10-29 05:31:55.595217,10.0,2552496128,15.0
2019-10-29 05:31:55.708430,10.5,2552496128,15.0
2019-10-29 05:31:55.817821,8.2,2552487936,15.0
2019-10-29 05:31:55.918082,8.9,2552492032,15.0
2019-10-29 05:31:56.018089,26.2,2552676352,15.0
2019-10-29 05:31:56.131443,28.8,2553561088,15.0
2019-10-29 05:31:56.233610,45.3,2558275584,15.0
2019-10-29 05:31:56.339291,12.9,2558509056,15.0
2019-10-29 05:31:56.454298,0.0,2558509056,15.0
2019-10-29 05:31:56.563649,11.9,2557415424,15.0
2019-10-29 05:31:56.672602,14.3,2563002368,15.0
2019-10-29 05:31:56.782711,0.0,2562994176,15.0
2019-10-29 05:31:56.892163,0.0,2562994176,15.0
2019-10-29 05:31:57.001413,3.5,2562994176,15.0
2019-10-29 05:31:57.110774,0.0,2562994176,15.0
2019-10-29 05:31:57.220199,0.0,2562994176,15.0
2019-10-29 05:31:57.329468,0.0,2562994176,15.0
2019-10-29 05:31:57.438812,0.0,2562994176,15.0
2019-10-29 05:31:57.548162,0.0,2562994176,15.0
2019-10-29 05:31:57.648406,0.0,2562994176,15.0
2019-10-29 05:31:57.758389,0.0,2562969600,15.0
2019-10-29 05:31:57.859497,0.0,2562965504,15.0
2019-10-29 05:31:57.967948,3.3,2562965504,15.0
2019-10-29 05:31:58.077591,0.0,2563035136,15.0
2019-10-29 05:31:58.187436,0.0,2563121152,15.0
2019-10-29 05:31:58.296786,0.0,2563186688,15.0
2019-10-29 05:31:58.406225,0.0,2563186688,15.0
2019-10-29 05:31:58.515483,0.0,2563186688,15.0
2019-10-29 05:31:58.622510,0.0,2563186688,15.0
2019-10-29 05:31:58.722754,0.0,2563186688,15.0
2019-10-29 05:31:58.822868,0.0,2563186688,15.0
2019-10-29 05:31:58.938273,3.5,2563125248,15.0
2019-10-29 05:31:59.047571,43.8,2566787072,15.0
2019-10-29 05:31:59.162852,50.8,2574241792,15.1
2019-10-29 05:31:59.270272,72.6,2581708800,15.1
2019-10-29 05:31:59.379249,64.4,2583404544,15.1
2019-10-29 05:31:59.495551,57.3,2584756224,15.1
2019-10-29 05:31:59.615434,73.8,2586906624,15.2
2019-10-29 05:31:59.716460,63.0,2588385280,15.2
2019-10-29 05:31:59.818857,71.4,2591219712,15.2
2019-10-29 05:31:59.931777,72.6,2599686144,15.2
2019-10-29 05:32:00.033613,50.0,2599763968,15.2
2019-10-29 05:32:00.144850,49.2,2600722432,15.2
2019-10-29 05:32:00.259019,47.1,2606104576,15.3
2019-10-29 05:32:00.378130,32.2,2602307584,15.2
2019-10-29 05:32:00.491937,48.4,2603470848,15.2
2019-10-29 05:32:00.602496,49.2,2606473216,15.3
2019-10-29 05:32:00.704290,50.0,2606383104,15.3
2019-10-29 05:32:00.806664,61.5,2608943104,15.3
2019-10-29 05:32:00.910387,49.2,2612342784,15.3
2019-10-29 05:32:01.024074,21.1,2613444608,15.3
2019-10-29 05:32:01.127513,56.5,2614071296,15.3
2019-10-29 05:32:01.242177,32.8,2616311808,15.3
2019-10-29 05:32:01.343144,50.0,2617851904,15.3
2019-10-29 05:32:01.456754,33.3,2619588608,15.3
2019-10-29 05:32:01.559584,30.5,2617815040,15.3
2019-10-29 05:32:01.665630,59.0,2621149184,15.4
2019-10-29 05:32:01.770632,41.1,2621358080,15.4
2019-10-29 05:32:01.878494,45.8,2624421888,15.4
2019-10-29 05:32:01.985958,56.9,2623889408,15.4
2019-10-29 05:32:02.093794,36.7,2625900544,15.4
2019-10-29 05:32:02.208250,52.5,2628157440,15.4
2019-10-29 05:32:02.321517,59.0,2630823936,15.4
2019-10-29 05:32:02.425773,77.4,2632314880,15.4
2019-10-29 05:32:02.534591,48.4,2639687680,15.5
2019-10-29 05:32:02.643147,60.0,2641326080,15.5
2019-10-29 05:32:02.759258,50.8,2640601088,15.5
2019-10-29 05:32:02.861055,32.7,2640257024,15.5
2019-10-29 05:32:02.963630,52.1,2639499264,15.5
2019-10-29 05:32:03.082628,10.7,2640134144,15.5
2019-10-29 05:32:03.191593,46.2,2641453056,15.5
2019-10-29 05:32:03.321704,30.0,2643697664,15.5
2019-10-29 05:32:03.449822,23.1,2644910080,15.5
2019-10-29 05:32:03.553485,15.3,2645676032,15.5
2019-10-29 05:32:03.658179,3.7,2645712896,15.5
2019-10-29 05:32:03.769196,0.0,2645725184,15.5
2019-10-29 05:32:03.878618,3.8,2645725184,15.5
2019-10-29 05:32:03.987993,0.0,2645725184,15.5
2019-10-29 05:32:04.097348,0.0,2645725184,15.5
2019-10-29 05:32:04.206698,0.0,2645536768,15.5
2019-10-29 05:32:04.316391,0.0,2645516288,15.5
2019-10-29 05:32:04.425742,0.0,2645516288,15.5
2019-10-29 05:32:04.537294,0.0,2645516288,15.5
2019-10-29 05:32:04.645075,0.0,2645516288,15.5
2019-10-29 05:32:04.745544,0.0,2645516288,15.5
2019-10-29 05:32:04.848545,0.0,2645516288,15.5
2019-10-29 05:32:04.958528,0.0,2645516288,15.5
2019-10-29 05:32:05.059935,0.0,2645516288,15.5
2019-10-29 05:32:05.160513,0.0,2645516288,15.5
2019-10-29 05:32:05.260857,0.0,2645516288,15.5
2019-10-29 05:32:05.370537,0.0,2645516288,15.5
2019-10-29 05:32:05.479889,0.0,2645516288,15.5
2019-10-29 05:32:05.580227,0.0,2645573632,15.5
2019-10-29 05:32:05.692781,0.0,2645585920,15.5
2019-10-29 05:32:05.802128,0.0,2645585920,15.5
2019-10-29 05:32:05.908645,0.0,2645565440,15.5
2019-10-29 05:32:06.017652,0.0,2645565440,15.5
2019-10-29 05:32:06.127331,3.5,2645606400,15.5
2019-10-29 05:32:06.236682,51.4,2646577152,15.5
2019-10-29 05:32:06.348940,63.6,2645270528,15.5
2019-10-29 05:32:06.467109,1.7,2645270528,15.5
2019-10-29 05:32:06.579568,11.3,2645270528,15.5
2019-10-29 05:32:06.688917,0.0,2645270528,15.5
2019-10-29 05:32:06.798267,0.0,2645270528,15.5
2019-10-29 05:32:06.898697,0.0,2645270528,15.5
2019-10-29 05:32:06.999172,0.0,2645266432,15.5
2019-10-29 05:32:07.108523,1.9,2645266432,15.5
2019-10-29 05:32:07.217875,0.0,2645266432,15.5
2019-10-29 05:32:07.318861,0.0,2645266432,15.5
2019-10-29 05:32:07.429245,0.0,2645266432,15.5
2019-10-29 05:32:07.540686,3.3,2645405696,15.5
2019-10-29 05:32:07.651361,0.0,2644967424,15.5
2019-10-29 05:32:07.765449,0.0,2644971520,15.5
2019-10-29 05:32:07.867356,0.0,2644971520,15.5
2019-10-29 05:32:07.977686,1.8,2644979712,15.5
2019-10-29 05:32:08.087021,3.8,2644979712,15.5
2019-10-29 05:32:08.187272,1.7,2644987904,15.5
2019-10-29 05:32:08.296960,0.0,2644992000,15.5
2019-10-29 05:32:08.406315,0.0,2645057536,15.5
2019-10-29 05:32:08.515745,0.0,2645057536,15.5
2019-10-29 05:32:08.625005,0.0,2645057536,15.5
2019-10-29 05:32:08.725420,1.9,2645057536,15.5
2019-10-29 05:32:08.835110,0.0,2645057536,15.5
2019-10-29 05:32:08.945451,0.0,2645057536,15.5
2019-10-29 05:32:09.055022,0.0,2645057536,15.5
2019-10-29 05:32:09.164716,0.0,2645196800,15.5
2019-10-29 05:32:09.264778,0.0,2645196800,15.5
2019-10-29 05:32:09.367998,0.0,2645192704,15.5
2019-10-29 05:32:09.477249,0.0,2645192704,15.5
2019-10-29 05:32:09.586208,0.0,2645192704,15.5
2019-10-29 05:32:09.695550,0.0,2645192704,15.5
2019-10-29 05:32:09.796956,0.0,2645245952,15.5
2019-10-29 05:32:09.914430,0.0,2645221376,15.5
2019-10-29 05:32:10.026109,5.9,2645340160,15.5
2019-10-29 05:32:10.136002,0.0,2644930560,15.5
2019-10-29 05:32:10.245710,0.0,2644926464,15.5
2019-10-29 05:32:10.345922,0.0,2644959232,15.5
2019-10-29 05:32:10.455698,0.0,2644975616,15.5
2019-10-29 05:32:10.565048,7.1,2645196800,15.5
2019-10-29 05:32:10.670967,3.6,2645671936,15.5
2019-10-29 05:32:10.789695,0.0,2645659648,15.5
2019-10-29 05:32:10.896160,0.0,2645659648,15.5
2019-10-29 05:32:11.007832,0.0,2645778432,15.5
2019-10-29 05:32:11.112613,0.0,2645766144,15.5
2019-10-29 05:32:11.224172,10.4,2646532096,15.5
2019-10-29 05:32:11.326008,9.1,2642677760,15.5
2019-10-29 05:32:11.440365,0.0,2642554880,15.5
2019-10-29 05:32:11.552272,0.0,2642575360,15.5
2019-10-29 05:32:11.661612,2.0,2642456576,15.5
2019-10-29 05:32:11.770045,0.0,2642456576,15.5
2019-10-29 05:32:11.878403,1.8,2642550784,15.5
2019-10-29 05:32:11.987755,0.0,2642657280,15.5
2019-10-29 05:32:12.087760,4.3,2642657280,15.5
2019-10-29 05:32:12.188101,0.0,2642657280,15.5
2019-10-29 05:32:12.303065,0.0,2642661376,15.5
2019-10-29 05:32:12.412508,40.6,2642415616,15.5
2019-10-29 05:32:12.514255,30.4,2641813504,15.5
