iter,start,end
0, 2019-10-29 04:57:56.841419,2019-10-29 04:58:01.915440
1, 2019-10-29 04:58:01.915440,2019-10-29 04:58:06.584285
2, 2019-10-29 04:58:06.584285,2019-10-29 04:58:11.183100
3, 2019-10-29 04:58:11.183100,2019-10-29 04:58:15.565655
4, 2019-10-29 04:58:15.565655,2019-10-29 04:58:20.017558
5, 2019-10-29 04:58:20.017558,2019-10-29 04:58:24.328333
6, 2019-10-29 04:58:24.328333,2019-10-29 04:58:28.559118
7, 2019-10-29 04:58:28.559118,2019-10-29 04:58:32.787869
8, 2019-10-29 04:58:32.787869,2019-10-29 04:58:37.108780
9, 2019-10-29 04:58:37.108780,2019-10-29 04:58:41.415548
10, 2019-10-29 04:58:41.415548,2019-10-29 04:58:45.663161
11, 2019-10-29 04:58:45.663161,2019-10-29 04:58:49.974624
12, 2019-10-29 04:58:49.974624,2019-10-29 04:58:54.219829
13, 2019-10-29 04:58:54.219829,2019-10-29 04:58:58.501245
14, 2019-10-29 04:58:58.501245,2019-10-29 04:59:02.755457
15, 2019-10-29 04:59:02.755457,2019-10-29 04:59:06.995266
16, 2019-10-29 04:59:06.995266,2019-10-29 04:59:11.287828
17, 2019-10-29 04:59:11.287828,2019-10-29 04:59:15.536644
18, 2019-10-29 04:59:15.536644,2019-10-29 04:59:19.795614
19, 2019-10-29 04:59:19.795614,2019-10-29 04:59:24.067489
