DuracaoIteracao
0.23432
0.031243
0.015621
0.031243
0.015622
0.01562
0.015622
0.015622
0.015623
0.015621
0.015621
0.015619
0.015622
0.015621
0.015624
0.01562
0.015622
0.015619
0.015624
0.0

MEDIA: 0.02733745
DESVIO_PADRAO: 0.049105610160224
