DuracaoIteracao
0.2187
0.015621
0.03124
0.015623
0.015621
0.015621
0.015621
0.015632
0.015616
0.0
0.015617
0.015625
0.015617
0.015621
0.01562
0.015624
0.015619
0.015622
0.0
0.015622

MEDIA: 0.0249941
DESVIO_PADRAO: 0.04600684435683113
