iteracao,duracao
0,00000.218700
1,00000.015621
2,00000.031240
3,00000.015623
4,00000.015621
5,00000.015621
6,00000.015621
7,00000.015632
8,00000.015616
9,00000
10,00000.015617
11,00000.015625
12,00000.015617
13,00000.015621
14,00000.015620
15,00000.015624
16,00000.015619
17,00000.015622
18,00000
19,00000.015622
