iter,start,end
0,2019-10-31 04:03:06.961754,2019-10-31 04:03:07.196110
1,2019-10-31 04:03:07.196110,2019-10-31 04:03:07.227315
2,2019-10-31 04:03:07.227315,2019-10-31 04:03:07.242936
3,2019-10-31 04:03:07.242936,2019-10-31 04:03:07.274219
4,2019-10-31 04:03:07.274219,2019-10-31 04:03:07.289803
5,2019-10-31 04:03:07.289803,2019-10-31 04:03:07.321043
6,2019-10-31 04:03:07.321043,2019-10-31 04:03:07.352285
7,2019-10-31 04:03:07.352285,2019-10-31 04:03:07.367906
8,2019-10-31 04:03:07.367906,2019-10-31 04:03:07.383528
9,2019-10-31 04:03:07.383528,2019-10-31 04:03:07.399150
10,2019-10-31 04:03:07.399150,2019-10-31 04:03:07.414771
11,2019-10-31 04:03:07.414771,2019-10-31 04:03:07.430392
12,2019-10-31 04:03:07.430392,2019-10-31 04:03:07.446013
13,2019-10-31 04:03:07.446013,2019-10-31 04:03:07.461634
14,2019-10-31 04:03:07.461634,2019-10-31 04:03:07.477256
15,2019-10-31 04:03:07.477256,2019-10-31 04:03:07.492881
16,2019-10-31 04:03:07.492881,2019-10-31 04:03:07.508499
17,2019-10-31 04:03:07.508499,2019-10-31 04:03:07.508499
18,2019-10-31 04:03:07.508499,2019-10-31 04:03:07.524120
19,2019-10-31 04:03:07.524120,2019-10-31 04:03:07.539741
