iteracao,duracao
0,00000.234322
1,00000.015621
2,00000.015620
3,00000.015622
4,00000
5,00000.015621
6,00000.031242
7,00000
8,00000.015623
9,00000.015622
10,00000.015621
11,00000
12,00000.015621
13,00000.015622
14,00000
15,00000.015620
16,00000.015620
17,00000.015622
18,00000
19,00000.015621
