iter,start,end
0,2019-10-31 03:28:18.144971,2019-10-31 03:28:18.394911
1,2019-10-31 03:28:18.394911,2019-10-31 03:28:18.426155
2,2019-10-31 03:28:18.426155,2019-10-31 03:28:18.457395
3,2019-10-31 03:28:18.457395,2019-10-31 03:28:18.473018
4,2019-10-31 03:28:18.473018,2019-10-31 03:28:18.504261
5,2019-10-31 03:28:18.504261,2019-10-31 03:28:18.535504
6,2019-10-31 03:28:18.535504,2019-10-31 03:28:18.551124
7,2019-10-31 03:28:18.551124,2019-10-31 03:28:18.566747
8,2019-10-31 03:28:18.566747,2019-10-31 03:28:18.582371
9,2019-10-31 03:28:18.582371,2019-10-31 03:28:18.597988
10,2019-10-31 03:28:18.597988,2019-10-31 03:28:18.613612
11,2019-10-31 03:28:18.613612,2019-10-31 03:28:18.629231
12,2019-10-31 03:28:18.629231,2019-10-31 03:28:18.644855
13,2019-10-31 03:28:18.644855,2019-10-31 03:28:18.660476
14,2019-10-31 03:28:18.660476,2019-10-31 03:28:18.676093
15,2019-10-31 03:28:18.676093,2019-10-31 03:28:18.691715
16,2019-10-31 03:28:18.691715,2019-10-31 03:28:18.707336
17,2019-10-31 03:28:18.707336,2019-10-31 03:28:18.722960
18,2019-10-31 03:28:18.722960,2019-10-31 03:28:18.738580
19,2019-10-31 03:28:18.738580,2019-10-31 03:28:18.738580
