iteracao,duracao
0,00000.218697
1,00000.015623
2,00000.015622
3,00000.015621
4,00000.015618
5,00000.031244
6,00000.015622
7,00000.015622
8,00000.015621
9,00000.015619
10,00000.015623
11,00000.015620
12,00000
13,00000.015621
14,00000.015622
15,00000.015620
16,00000
17,00000.015623
18,00000
19,00000.015621
