iter,start,end
0,2019-10-31 03:56:22.162374,2019-10-31 03:56:22.412282
1,2019-10-31 03:56:22.412282,2019-10-31 03:56:22.443570
2,2019-10-31 03:56:22.443570,2019-10-31 03:56:22.459149
3,2019-10-31 03:56:22.459149,2019-10-31 03:56:22.474780
4,2019-10-31 03:56:22.474780,2019-10-31 03:56:22.506010
5,2019-10-31 03:56:22.506010,2019-10-31 03:56:22.521635
6,2019-10-31 03:56:22.521635,2019-10-31 03:56:22.552877
7,2019-10-31 03:56:22.552877,2019-10-31 03:56:22.568498
8,2019-10-31 03:56:22.568498,2019-10-31 03:56:22.584120
9,2019-10-31 03:56:22.584120,2019-10-31 03:56:22.599740
10,2019-10-31 03:56:22.599740,2019-10-31 03:56:22.599740
11,2019-10-31 03:56:22.599740,2019-10-31 03:56:22.615396
12,2019-10-31 03:56:22.615396,2019-10-31 03:56:22.630982
13,2019-10-31 03:56:22.630982,2019-10-31 03:56:22.646612
14,2019-10-31 03:56:22.646612,2019-10-31 03:56:22.662225
15,2019-10-31 03:56:22.662225,2019-10-31 03:56:22.677844
16,2019-10-31 03:56:22.677844,2019-10-31 03:56:22.677844
17,2019-10-31 03:56:22.677844,2019-10-31 03:56:22.709088
18,2019-10-31 03:56:22.709088,2019-10-31 03:56:22.724708
19,2019-10-31 03:56:22.724708,2019-10-31 03:56:22.724708
