DuracaoIteracao
39.317603
38.910483
38.80337
39.052015
38.985967
39.141944
38.969843
38.878907
38.959139
39.331318
39.002004
38.861186000000004
38.427192
38.714889
38.746286
38.742689
38.8358
39.027709
38.800448
38.862349

MEDIA: 38.91855705
DESVIO_PADRAO: 0.20656369189759852
