DuracaoIteracao
22.885365
13.387539
13.309391
13.200064
13.231241
13.29381
13.371807
13.231284
13.215732
13.293813
13.778075
13.215659
13.246904
13.21562
13.293768
13.278213
13.246882
13.278146
13.356281
13.356226

MEDIA: 13.784291
DESVIO_PADRAO: 2.1457882694634747
