iter,start,end
0, 2019-10-29 07:45:56.913897,2019-10-29 07:46:36.231500
1, 2019-10-29 07:46:36.231500,2019-10-29 07:47:15.141983
2, 2019-10-29 07:47:15.141983,2019-10-29 07:47:53.945353
3, 2019-10-29 07:47:53.945353,2019-10-29 07:48:32.997368
4, 2019-10-29 07:48:32.997368,2019-10-29 07:49:11.983335
5, 2019-10-29 07:49:11.984331,2019-10-29 07:49:51.126275
6, 2019-10-29 07:49:51.126275,2019-10-29 07:50:30.096118
7, 2019-10-29 07:50:30.096118,2019-10-29 07:51:08.975025
8, 2019-10-29 07:51:08.975025,2019-10-29 07:51:47.934164
9, 2019-10-29 07:51:47.934164,2019-10-29 07:52:27.265482
10, 2019-10-29 07:52:27.265482,2019-10-29 07:53:06.267486
11, 2019-10-29 07:53:06.267486,2019-10-29 07:53:45.128672
12, 2019-10-29 07:53:45.128672,2019-10-29 07:54:23.555864
13, 2019-10-29 07:54:23.555864,2019-10-29 07:55:02.270753
14, 2019-10-29 07:55:02.270753,2019-10-29 07:55:41.017039
15, 2019-10-29 07:55:41.017039,2019-10-29 07:56:19.759728
16, 2019-10-29 07:56:19.759728,2019-10-29 07:56:58.595528
17, 2019-10-29 07:56:58.595528,2019-10-29 07:57:37.623237
18, 2019-10-29 07:57:37.623237,2019-10-29 07:58:16.423685
19, 2019-10-29 07:58:16.423685,2019-10-29 07:58:55.286034
