iter,start,end
0, 2019-10-29 06:15:24.832361,2019-10-29 06:16:00.403357
1, 2019-10-29 06:16:00.403357,2019-10-29 06:16:36.368167
2, 2019-10-29 06:16:36.368167,2019-10-29 06:17:12.227934
3, 2019-10-29 06:17:12.227934,2019-10-29 06:17:48.083101
4, 2019-10-29 06:17:48.083101,2019-10-29 06:18:24.254522
5, 2019-10-29 06:18:24.254522,2019-10-29 06:19:00.193154
6, 2019-10-29 06:19:00.193154,2019-10-29 06:19:36.457682
7, 2019-10-29 06:19:36.457682,2019-10-29 06:20:12.267845
8, 2019-10-29 06:20:12.267845,2019-10-29 06:20:48.063313
9, 2019-10-29 06:20:48.063313,2019-10-29 06:21:23.907463
10, 2019-10-29 06:21:23.907463,2019-10-29 06:21:59.982625
11, 2019-10-29 06:21:59.982625,2019-10-29 06:22:35.886311
12, 2019-10-29 06:22:35.886311,2019-10-29 06:23:11.775640
13, 2019-10-29 06:23:11.775640,2019-10-29 06:23:47.331953
14, 2019-10-29 06:23:47.331953,2019-10-29 06:24:22.938139
15, 2019-10-29 06:24:22.938139,2019-10-29 06:24:58.597176
16, 2019-10-29 06:24:58.597176,2019-10-29 06:25:34.328463
17, 2019-10-29 06:25:34.328463,2019-10-29 06:26:10.137458
18, 2019-10-29 06:26:10.137458,2019-10-29 06:26:45.821104
19, 2019-10-29 06:26:45.821104,2019-10-29 06:27:21.470470
