iter,start,end
0, 2019-10-30 04:32:17.361391,2019-10-30 04:32:40.246756
1, 2019-10-30 04:32:40.246756,2019-10-30 04:32:53.634295
2, 2019-10-30 04:32:53.634295,2019-10-30 04:33:06.943686
3, 2019-10-30 04:33:06.943686,2019-10-30 04:33:20.143750
4, 2019-10-30 04:33:20.143750,2019-10-30 04:33:33.374991
5, 2019-10-30 04:33:33.374991,2019-10-30 04:33:46.668801
6, 2019-10-30 04:33:46.668801,2019-10-30 04:34:00.040608
7, 2019-10-30 04:34:00.040608,2019-10-30 04:34:13.271892
8, 2019-10-30 04:34:13.271892,2019-10-30 04:34:26.487624
9, 2019-10-30 04:34:26.487624,2019-10-30 04:34:39.781437
10, 2019-10-30 04:34:39.797014,2019-10-30 04:34:53.575089
11, 2019-10-30 04:34:53.575089,2019-10-30 04:35:06.790748
12, 2019-10-30 04:35:06.790748,2019-10-30 04:35:20.037652
13, 2019-10-30 04:35:20.037652,2019-10-30 04:35:33.253272
14, 2019-10-30 04:35:33.253272,2019-10-30 04:35:46.547040
15, 2019-10-30 04:35:46.547040,2019-10-30 04:35:59.825253
16, 2019-10-30 04:35:59.825253,2019-10-30 04:36:13.072135
17, 2019-10-30 04:36:13.072135,2019-10-30 04:36:26.350281
18, 2019-10-30 04:36:26.350281,2019-10-30 04:36:39.706562
19, 2019-10-30 04:36:39.706562,2019-10-30 04:36:53.062788
