iter,start,end
0, 2019-10-29 07:25:19.321755,2019-10-29 07:25:57.610836
1, 2019-10-29 07:25:57.610836,2019-10-29 07:26:36.297977
2, 2019-10-29 07:26:36.297977,2019-10-29 07:27:15.335079
3, 2019-10-29 07:27:15.335079,2019-10-29 07:27:53.748895
4, 2019-10-29 07:27:53.748895,2019-10-29 07:28:32.399768
5, 2019-10-29 07:28:32.399768,2019-10-29 07:29:10.670854
6, 2019-10-29 07:29:10.670854,2019-10-29 07:29:49.157196
7, 2019-10-29 07:29:49.157196,2019-10-29 07:30:27.399001
8, 2019-10-29 07:30:27.399001,2019-10-29 07:31:05.716971
9, 2019-10-29 07:31:05.716971,2019-10-29 07:31:44.253440
10, 2019-10-29 07:31:44.253440,2019-10-29 07:32:22.841325
11, 2019-10-29 07:32:22.841325,2019-10-29 07:33:01.483179
12, 2019-10-29 07:33:01.483179,2019-10-29 07:33:40.014703
13, 2019-10-29 07:33:40.014703,2019-10-29 07:34:18.615464
14, 2019-10-29 07:34:18.615464,2019-10-29 07:34:57.171862
15, 2019-10-29 07:34:57.171862,2019-10-29 07:35:35.734836
16, 2019-10-29 07:35:35.734836,2019-10-29 07:36:14.140473
17, 2019-10-29 07:36:14.140473,2019-10-29 07:36:52.892931
18, 2019-10-29 07:36:52.892931,2019-10-29 07:37:31.642214
19, 2019-10-29 07:37:31.642214,2019-10-29 07:38:09.929318
