op,query,start,end
LOAD,1,2019-10-27 05:51:20.664384,2019-10-27 05:51:22.320196
CREATE_VIEW,1,2019-10-27 05:51:22.320196,2019-10-27 05:51:22.757592
LOAD,2,2019-10-27 05:56:23.745143,2019-10-27 05:56:23.948262
CREATE_VIEW,2,2019-10-27 05:56:23.948262,2019-10-27 05:56:23.995098
LOAD,3,2019-10-27 06:01:24.340143,2019-10-27 06:01:24.527644
CREATE_VIEW,3,2019-10-27 06:01:24.527644,2019-10-27 06:01:24.558842
