op,query,start,end
LOAD,1,2019-10-27 06:41:29.759499,2019-10-27 06:41:29.947003
CREATE_VIEW,1,2019-10-27 06:41:29.947003,2019-10-27 06:41:29.962576
LOAD,2,2019-10-27 06:46:30.390849,2019-10-27 06:46:30.593974
CREATE_VIEW,2,2019-10-27 06:46:30.593974,2019-10-27 06:46:30.609539
LOAD,3,2019-10-27 06:51:30.994547,2019-10-27 06:51:31.197624
CREATE_VIEW,3,2019-10-27 06:51:31.197624,2019-10-27 06:51:31.213246
