op,query,start,end
LOAD,1,2019-10-27 11:03:41.501374,2019-10-27 11:03:41.688808
CREATE_VIEW,1,2019-10-27 11:03:41.688808,2019-10-27 11:03:41.704402
LOAD,2,2019-10-27 11:08:42.121400,2019-10-27 11:08:42.308799
CREATE_VIEW,2,2019-10-27 11:08:42.308799,2019-10-27 11:08:42.340085
LOAD,3,2019-10-27 11:13:42.738332,2019-10-27 11:13:42.941376
CREATE_VIEW,3,2019-10-27 11:13:42.941376,2019-10-27 11:13:42.957039
