op,query,start,end
LOAD,1,2019-10-27 10:28:36.225411,2019-10-27 10:28:36.428504
CREATE_VIEW,1,2019-10-27 10:28:36.428504,2019-10-27 10:28:36.444094
LOAD,2,2019-10-27 10:33:37.329727,2019-10-27 10:33:37.532825
CREATE_VIEW,2,2019-10-27 10:33:37.532825,2019-10-27 10:33:37.564038
LOAD,3,2019-10-27 10:38:37.965479,2019-10-27 10:38:38.152974
CREATE_VIEW,3,2019-10-27 10:38:38.152974,2019-10-27 10:38:38.184160
