op,query,start,end
LOAD,1,2019-10-27 06:21:27.306882,2019-10-27 06:21:27.509958
CREATE_VIEW,1,2019-10-27 06:21:27.509958,2019-10-27 06:21:27.525557
LOAD,2,2019-10-27 06:26:27.904204,2019-10-27 06:26:28.091616
CREATE_VIEW,2,2019-10-27 06:26:28.091616,2019-10-27 06:26:28.122860
LOAD,3,2019-10-27 06:31:28.523819,2019-10-27 06:31:28.726856
CREATE_VIEW,3,2019-10-27 06:31:28.726856,2019-10-27 06:31:28.742477
LOAD,4,2019-10-27 06:36:29.150305,2019-10-27 06:36:29.322137
CREATE_VIEW,4,2019-10-27 06:36:29.322137,2019-10-27 06:36:29.353381
