op,query,start,end
LOAD,1,2019-10-27 10:43:38.576398,2019-10-27 10:43:38.779474
CREATE_VIEW,1,2019-10-27 10:43:38.779474,2019-10-27 10:43:38.810685
LOAD,2,2019-10-27 10:48:39.694630,2019-10-27 10:48:39.897715
CREATE_VIEW,2,2019-10-27 10:48:39.897715,2019-10-27 10:48:39.913311
LOAD,3,2019-10-27 10:53:40.316306,2019-10-27 10:53:40.519381
CREATE_VIEW,3,2019-10-27 10:53:40.519381,2019-10-27 10:53:40.535004
LOAD,4,2019-10-27 10:58:40.905051,2019-10-27 10:58:41.092474
CREATE_VIEW,4,2019-10-27 10:58:41.092474,2019-10-27 10:58:41.108130
