op,query,start,end
LOAD,1,2019-10-27 10:13:31.895213,2019-10-27 10:13:33.629140
CREATE_VIEW,1,2019-10-27 10:13:33.629140,2019-10-27 10:13:34.066579
LOAD,2,2019-10-27 10:18:34.988795,2019-10-27 10:18:35.176316
CREATE_VIEW,2,2019-10-27 10:18:35.176316,2019-10-27 10:18:35.207491
LOAD,3,2019-10-27 10:23:35.601112,2019-10-27 10:23:35.788616
CREATE_VIEW,3,2019-10-27 10:23:35.788616,2019-10-27 10:23:35.819810
