iter,start,end
0,2019-10-27 11:13:42.957039,2019-10-27 11:13:42.972664
1,2019-10-27 11:13:42.972664,2019-10-27 11:13:42.972664
2,2019-10-27 11:13:42.972664,2019-10-27 11:13:42.988280
3,2019-10-27 11:13:42.988280,2019-10-27 11:13:42.988280
4,2019-10-27 11:13:42.988280,2019-10-27 11:13:43.003912
5,2019-10-27 11:13:43.003912,2019-10-27 11:13:43.003912
6,2019-10-27 11:13:43.003912,2019-10-27 11:13:43.019484
7,2019-10-27 11:13:43.019484,2019-10-27 11:13:43.019484
8,2019-10-27 11:13:43.019484,2019-10-27 11:13:43.035109
9,2019-10-27 11:13:43.035109,2019-10-27 11:13:43.035109
10,2019-10-27 11:13:43.035109,2019-10-27 11:13:43.050730
11,2019-10-27 11:13:43.050730,2019-10-27 11:13:43.050730
12,2019-10-27 11:13:43.050730,2019-10-27 11:13:43.066350
13,2019-10-27 11:13:43.066350,2019-10-27 11:13:43.066350
14,2019-10-27 11:13:43.066350,2019-10-27 11:13:43.081969
15,2019-10-27 11:13:43.081969,2019-10-27 11:13:43.081969
16,2019-10-27 11:13:43.081969,2019-10-27 11:13:43.097589
17,2019-10-27 11:13:43.097589,2019-10-27 11:13:43.113250
18,2019-10-27 11:13:43.113250,2019-10-27 11:13:43.128876
19,2019-10-27 11:13:43.128876,2019-10-27 11:13:43.128876
