op,query,start,end
LOAD,1,2019-10-27 06:06:24.972953,2019-10-27 06:06:25.176027
CREATE_VIEW,1,2019-10-27 06:06:25.176027,2019-10-27 06:06:25.191648
LOAD,2,2019-10-27 06:11:26.083815,2019-10-27 06:11:26.302469
CREATE_VIEW,2,2019-10-27 06:11:26.302469,2019-10-27 06:11:26.318091
LOAD,3,2019-10-27 06:16:26.708699,2019-10-27 06:16:26.896232
CREATE_VIEW,3,2019-10-27 06:16:26.896232,2019-10-27 06:16:26.943016
